pert_id,pert_iname,pubchem_cid,SMILES
BRD-A04956113,BRD-A04956113,,CC(C)c1ccc(NC(=O)C(N2CC(=O)Nc3ccccc23)c2ccccc2)cc1
BRD-A04975445,"1,2-ALPHA-EPOXYDEACETOXYDIHYDROGEDUNIN",,CC1(C)C2C[C@@H](O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)C5OC345)c3ccoc3)[C@@]2(C)[C@H]2O[C@H]2C1=O
BRD-A05055724,BRD-A05055724,,CCN1CCn2c3C1CCCc3c1cc(Cl)ccc21
BRD-A05072082,BRD-A05072082,,CCC1CCCCN1CCNC(=O)CNS(=O)(=O)c1ccc2nc(C)sc2c1
BRD-A05083276,BRD-A05083276,,Cc1cc(C(=O)CSc2nc3ccccc3[nH]2)c(C)n1CC1CCCO1
BRD-A05126040,BRD-A05126040,,COc1ccc(cc1)C(=O)NC(=S)N1CCNC(=O)C1CC(=O)OC(C)C
BRD-A05166186,BRD-A05166186,,CC1(NC(=O)N(CC(=O)N2CCOCC2)C1=O)c1ccccc1
BRD-A05186015,BUPROPION,62884,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BRD-A05315883,BRD-A05315883,,OC1(CC(=O)c2ccc(cc2)-n2cccc2)C(=O)Nc2ccccc12
BRD-A05350058,BRD-A05350058,,CCOC(=O)c1ccc(NC(=O)C2CCCN(C2)S(=O)(=O)c2c[nH]cn2)cc1
BRD-A05352148,IPRATROPIUM,3746,CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3
BRD-A05414272,BRD-A05414272,,CCc1nn(C(C)C(=O)NC(C)CCc2ccco2)c(=O)c2cc3occc3n12
